datacenter_id;datacenter_name;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;active_duration;idle_intervals;duration;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;is_active;idle_power;active_power;files;
3;Datacenter_1;113716.3500847208;0;storage;900000.0;144384.0;745.1274608898908;1.0000017892249078:;961.6920478889255;4321.739273161367;3.0000053676747234;0.003;0.004;198.0;false;3.0;5.8;55596,3072,15.519012736963932:1-55848,3072,15.521955403328342:305057,3584,18.10927517611507:1-59492,2560,12.933398657261412:304132,1536,7.760060260255123:304077,3584,18.113354028362007:55890,3072,15.517312698779406:3-32082,512,2.589856776136038:1-817773,3072,15.527481673349971:303567,3584,18.104577954985675:18046,512,2.594821657210039:304814,3584,18.114792940807973:2-31682,2560,12.932926828676825:35-240840,3072,15.521060153716636:3-591393,3072,15.519868806646466:287024,512,2.595383743008711:55884,3072,15.518080348206391:5-146150,512,2.5956139626298307:1-841315,512,2.590289576462804:1-55668,3072,15.527920817280467:450558,1024,5.17609890690475:878241,1024,5.184340385550992:303793,3584,18.105159008932024:1-1002253,1024,5.173010102512263:211167,3072,15.524281808652317:304070,3584,18.105762034375527:206106,3072,15.520718342861326:753921,3072,15.523121172721217:1-55728,3072,15.517243632413614:304399,3584,18.11379042237491:305026,1536,7.76100896120236:450556,1024,5.176927709715711:1-450544,1024,5.173152589963578:304663,1536,7.7674341059045435:1-817791,3072,15.518945878634202:304883,3584,18.106259773401543:55638,3072,15.528752314652294:205538,1024,5.178478832407188:303758,3584,18.103217183210937:304752,3584,18.10846357771586:15-240840,3072,15.521564691393378:304427,3584,18.108346423196537:305029,3584,18.110148870629825:1-591393,3072,15.5212991252733:304361,1536,7.761906800194207:1-572521,2560,12.935794110551928:149730,512,2.591692423193423:62895,3072,15.526988842048453:303821,3584,18.1044637678164:304581,12288,62.07310959471497:304656,3584,18.104537336346002:304448,3584,18.10426487854894:85578,512,2.5915962755607365:287063,512,2.5924851380540423:90546,2048,10.357671509217365:;
3;Datacenter_1;113716.3500847208;1;storage;900000.0;139776.0;721.8814440031894;1.0000001822594735:;961.6920478889255;4186.9123752185;3.0000005467784208;0.003;0.004;198.0;false;3.0;5.8;3-55896,3072,15.518360641031068:2-572526,2560,12.93900621755067:1-753921,3072,15.521696449669992:304646,1536,7.765780236849494:1-31682,512,2.5903572290829406:303623,3584,18.107079414549723:2-55596,3072,15.523859667635142:2-838506,4608,23.27925688110969:304035,3584,18.10922420862828:450554,1024,5.174838761064451:2-878249,1024,5.180187898306351:1-269746,1024,5.172837718321403:304725,1536,7.762642264365269:62837,9216,46.55106438433198:1-55638,3072,15.528203191572706:572526,2560,12.93191140182436:1-270734,1024,5.177295778137092:304462,3584,18.104151790981177:1-287047,512,2.5938694110691536:304063,3584,18.107657290898025:1-591387,3072,15.529651519035607:2-572521,2560,12.934156920837378:55842,3072,15.520658623006396:55968,3072,15.519177058651028:304821,1536,7.767594168625702:304546,3584,18.10798559114906:1-450556,1024,5.1739981504192025:303744,3584,18.10821506486269:1-146150,512,2.589234005694986:211197,3072,15.528435132548184:2-753921,3072,15.520762635743882:1-572098,2048,10.346048681750855:1-258925,512,2.598987137853979:303828,3584,18.10811638917105:2-1002261,1024,5.174107627408991:8-240840,3072,15.518894385848471:1-258923,512,2.599821682165962:1002255,1024,5.174382521145327:303956,3584,18.105081616459227:211173,3072,15.516061797876198:1-269750,1024,5.177918319928519:211191,3072,15.521769466396455:3-753921,3072,15.520456889824604:5-31882,512,2.59933165845405:304118,3584,18.10563226580084:240840,3072,15.520407880784798:1-878245,1024,5.179576956217986:3-367002,512,2.590569154112629:817803,3072,15.523712092595963:1-450548,1024,5.174937893418223:1-206106,3072,15.52582188570058:1-269738,1024,5.172954263875136:18085,512,2.5961679482283455:1-206088,3072,15.517783079515658:6-428733,11776,59.476476113905306:;
3;Datacenter_1;113716.3500847208;2;storage;900000.0;145408.0;765.7966673364207;1.000000266829021:;961.6920478889255;4441.62067055124;3.0000008004870633;0.003;0.004;198.0;false;3.0;5.8;1-450552,1024,5.183152612866157:6-753921,3072,15.51973947292796:1-878233,1024,5.18304708919037:817779,3072,15.518227957505543:725321,512,2.589937985010259:303863,3584,18.105451456885234:11-240840,3072,15.521816922522417:270736,1024,5.175514759904213:5-367002,512,2.601897164928419:4-760114,512,2.5912098343866283:304282,3584,18.10646665504985:428733,9216,46.550519580868496:303672,3584,18.1077148096891:305050,3584,18.10785028839958:1-253140,2048,10.3537133985577:367002,9216,46.55181399385664:287438,512,2.592170480633227:270734,1024,5.183177298193385:17-240840,3072,15.520600812037182:1-55884,3072,15.518656739176883:303609,3584,18.104024873908806:304212,3584,18.104935506511787:149733,3072,15.518701051481775:304483,3584,18.112015289233454:1-90546,2048,10.352595851190253:270748,1024,5.175417971704339:26-240840,3072,15.529847701575985:1-59487,2560,12.935830456778499:55668,3072,15.51793797831455:878235,1024,5.182019756298908:3-31882,512,2.586689465728726:5-32082,512,2.588919244938415:234346,2048,10.35824903262862:1-1002251,1024,5.175998740617536:1-450560,1024,5.174314780652387:1-32082,512,2.594315215962701:18-240840,3072,15.52944505638449:6-367002,11776,59.47701547121262:304988,4608,23.279895376711913:1-55674,3072,15.520327011498516:878245,1024,5.175701119560558:304135,3584,18.10842723037927:304683,3584,18.11194375362994:304981,3584,18.10375572704709:304364,3584,18.105384764486214:6-361644,3072,15.524710294099506:24-240840,3072,15.521025864254087:2-878231,1024,5.17811557116926:6-973347,3072,15.52239046908618:3-428733,512,2.586612956317673:1-817803,3072,15.526635820056798:304918,3584,18.10867388446528:269742,1024,5.187208953628197:2-760114,512,2.5935001636677057:;
3;Datacenter_1;113716.3500847208;3;storage;900000.0;169472.0;954.6027731680178;1.0000002917759447:;961.6920478889255;5536.696084374504;3.000000875327834;0.003;0.004;198.0;false;3.0;5.8;591399,3072,15.520055166649824:288827,512,2.5928051637778937:55776,3072,15.524541804320627:1-817815,3072,15.517228346149343:4-146350,2560,12.943746568063181:304261,3584,18.105710140622627:141006,3072,15.520011910755276:760113,512,2.589406682969557:817809,3072,15.524060741821877:1-450558,1024,5.17230461909938:2-59487,2560,12.941498866762178:303849,3584,18.10759635295722:205540,9728,49.134547327911214:258925,512,2.601416085541437:303723,3584,18.10816099100385:760114,512,2.5900259948060014:591393,3072,15.515605574816279:4-841315,14336,72.41375092343482:591387,3072,15.527866408753855:269738,1024,5.1789640220622655:107349,4096,20.691596229153507:146550,2560,12.930869145235446:205498,9728,49.139150167948316:1-55710,3072,15.526448301019181:1-361650,3072,15.522868508554396:55674,3072,15.522376977194515:817773,3072,15.519114489941119:1-270738,1024,5.176372094791882:304156,3584,18.107899276791134:59502,2560,12.946621608873388:55824,3072,15.517774660058642:303870,3584,18.10281674969836:1-55842,3072,15.522100543241034:304149,3584,18.110729304180634:445665,512,2.5925730500148494:1-428733,512,2.5955128772533653:62936,3072,15.522459645614497:2-878235,1024,5.173486413470918:450544,1024,5.184972072810013:269740,1024,5.176172277163413:304525,3584,18.105497433725752:6-31682,2560,12.930804738919672:304567,3584,18.112047777490627:1-1002263,1024,5.176690890524062:1-55608,3072,15.516684823052387:55710,3072,15.529236020344696:2-32082,2560,12.934640187266563:4-753921,3072,15.519168423117423:2-572516,2560,12.931068357221434:304622,12288,62.070303327963664:1-817797,3072,15.519014618002917:40-240840,3072,15.5246209070974:725324,512,2.5934623484656627:303963,3584,18.107848522221296:;
3;Datacenter_1;113716.3500847208;4;storage;900000.0;168448.0;856.3004204531601;1.0000004167879113:;961.6920478889255;4966.542438628331;3.000001250363734;0.003;0.004;198.0;false;3.0;5.8;25-240840,3072,15.526928354068726:1-878247,1024,5.1739287561172524:1-55758,3072,15.522983609622877:303686,12288,62.06751103410117:269750,1024,5.1829035858084715:55734,3072,15.519508315533985:303658,3584,18.104460953441734:2-835506,9728,49.13841936303485:55608,3072,15.52789494621712:304476,3584,18.10274387557149:304953,3584,18.113671971794584:4-973347,3072,15.518908969389917:2-428733,9216,46.55025096252646:2-878241,1024,5.173745700888839:304014,3584,18.104428361611703:80965,2048,10.356316383782747:5-760114,512,2.591997880604238:20403,512,2.5886927937264783:62890,2560,12.93398735625969:149732,512,2.592760927437427:14-240840,3072,15.518444218746401:1-450550,1024,5.175533060656939:287056,512,2.5955597129376176:304560,3584,18.10407327015469:211215,3072,15.521122264380109:1-55890,3072,15.531492091331954:206076,3072,15.521863624822641:2-149733,512,2.587415705129803:304385,3584,18.10788760128518:450552,1024,5.189247953435157:4-146150,2560,12.930199143855216:4-591405,3072,15.522567774145347:23-240840,3072,15.517213933834435:304690,14336,72.41069004471129:304028,3584,18.116266835330936:4-146550,2560,12.9366936296324:304497,3584,18.108445652716345:289404,512,2.592588263348182:878239,1024,5.183804917664101:1002253,1024,5.175442961881293:55830,3072,15.522453738586375:1-4203,4096,20.692351948312737:303800,3584,18.11045551278357:572521,2560,12.934120053912329:20-240840,3072,15.521620260468142:304824,3584,18.104228543026608:55854,3072,15.528557162151333:817791,3072,15.5200616051502:1-367002,512,2.5885318127732:1-285602,512,2.590704448544113:1-206082,3072,15.521953085222357:612639,4096,20.694959905747734:1-817785,3072,15.521827215273653:140958,3072,15.521462254093901:;
3;Datacenter_1;113716.3500847208;5;storage;6000000.0;124928.0;605.1354440117186;1.0000004652444445:;961.6920478889255;6819.876454012069;6.900003210186668;0.00416;0.0085;216.0;false;6.9;11.27;1-55692,3072,14.24368962214649:1-269744,1024,4.754825719371812:62867,2560,11.859220838148191:304226,3584,16.608151061131245:7000,2048,9.486609266193723:304649,3584,16.61002183591629:5-591393,3072,14.250227840617228:304869,3584,16.601863186604465:572102,2048,9.492078559117797:2-591399,3072,14.229428700338769:304960,3584,16.59709160910958:55782,3072,14.240047877018837:22-240840,3072,14.240318427430491:1-817767,3072,14.23026188013972:304511,3584,16.603005242986406:211179,3072,14.230550555681237:1-269742,1024,4.753257818591758:206088,3072,14.236547342332942:146350,2560,11.860438832737659:1-270752,1024,4.767934986179259:303737,3584,16.596464591031033:1002245,1024,4.749521605676952:304296,3584,16.61238533411437:304125,3584,16.60763177641905:304504,3584,16.594236799023225:1-55794,3072,14.245311854559285:303720,1536,7.12540259509293:140988,3072,14.226578303846672:725320,512,2.376748715471672:3-240840,3072,14.249635221539396:5-841315,512,2.375501528187838:303884,3584,16.607991550912224:16601,512,2.37750348606568:1-760114,512,2.3784386861454094:4-55896,3072,14.250273241299242:107821,4096,18.97049974029699:55950,3072,14.235463238421524:2-760113,512,2.377194525471553:289698,512,2.3960848396903556:62861,3072,14.231659411034418:3-840315,512,2.3773714631996334:304615,3584,16.603315937677543:1-270748,1024,4.7473215850334345:19826,512,2.388198385486165:55620,3072,14.224457285982451:258924,512,2.3838421236872915:1-1002249,1024,4.748147268618218:32082,2560,11.871271386146127:878251,1024,4.750349403416832:1-270744,1024,4.747295345550638:1-59502,2560,11.871499232128658:591411,3072,14.234156169908479:5-146350,512,2.379213800013088:1-206100,3072,14.231940923751646:;
3;Datacenter_1;113716.3500847208;6;storage;6000000.0;154624.0;773.4767379110183;1.0000008669421812:;961.6920478889255;8717.082836257172;6.90000598190105;0.00416;0.0085;216.0;false;6.9;11.27;361650,3072,14.235153095986538:1-270736,1024,4.767205192716196:1-1002257,1024,4.751127104509471:1-55656,3072,14.233023783550497:55758,3072,14.237612211582608:878243,1024,4.759919943273395:206082,3072,14.228870300199967:270750,1024,4.768258419452214:5-31682,512,2.3791001724370955:55878,3072,14.23164194451461:1-146350,512,2.376169673522752:973353,3072,14.25083779247927:304191,3584,16.60088664146809:725322,512,2.376833743151369:12-240840,3072,14.232389080525591:4-240840,3072,14.234393143339384:140970,3072,14.247270247129519:2-240840,3072,14.234093232096365:878237,1024,4.754330481280307:304925,3584,16.60070381461813:18437,512,2.3819155943501125:450546,1024,4.75236255985512:1-1002259,1024,4.7581043546170365:206118,3072,14.227731996120692:55698,3072,14.235047705076392:1-55770,3072,14.22433956198969:3-835506,512,2.3929008397906073:55614,3072,14.228828076362195:1002263,1024,4.755004644532573:205519,9728,45.06191836720992:20697,512,2.379747923379795:1-878243,1024,4.747389898382287:55740,3072,14.240955465217265:304303,28160,130.37917625043582:304115,1536,7.133861040299831:1-572516,2560,11.859467668914537:1-270746,1024,4.751442724045918:108645,4096,18.971443591466617:304676,3584,16.618878633315944:304946,3584,16.59411838185298:1-1002245,1024,4.742141904005336:304532,3584,16.61289124368718:1-878239,1024,4.751928289408566:304967,3584,16.606377432546974:304539,3584,16.59975947702697:1-270750,1024,4.75999564588185:206064,3072,14.225471426265187:10-240840,3072,14.248909306845299:5-146550,512,2.3804461412719884:1-973353,3072,14.230233835405366:2-973353,3072,14.225336143283156:211227,3072,14.240637264817822:3-361644,3072,14.249497541573382:75952,2048,9.488364905739438:;
3;Datacenter_1;113716.3500847208;7;storage;6000000.0;204288.0;960.6920469860371;1.0000009028883063:;961.6920478889255;10826.999369532647;6.900006229929314;0.00416;0.0085;216.0;false;6.9;11.27;304574,3584,16.608339292432284:450560,1024,4.767729126216072:2-146150,2560,11.855721298148794:30-240840,3072,14.236551433338777:304240,3584,16.603821906900617:55848,3072,14.233974188465675:1-269732,1024,4.751035798994173:3-973347,3072,14.243066748501858:6-840815,31232,144.60392544366735:303765,3584,16.606026301823192:91389,32768,151.7134344173666:270742,1024,4.770042133577497:304897,3584,16.60872155752141:1-240840,3072,14.230741931872075:2-591405,3072,14.233316814612895:62872,9216,42.67145815225413:303751,3584,16.60374190684354:62855,3072,14.245656612809821:303877,3584,16.59953553539228:2-1002253,1024,4.749476921690697:1-59497,2560,11.876003071876896:878249,1024,4.75285895595305:1-253144,2048,9.48960411319966:303710,1536,7.122174037841226:4-591399,3072,14.229245081713028:211221,3072,14.242480174356102:610287,512,2.3753819766455515:211185,3072,14.227172272102376:55692,3072,14.231776202347374:1-840315,512,2.397394310025616:725318,512,2.3756690738951587:304084,3584,16.596760044862265:2-347649,512,2.382513703175292:1-450546,1024,4.7561441641581546:1-55896,3072,14.246245511258506:304008,1536,7.1218618110718115:1-55734,3072,14.229296800305482:269736,1024,4.746983404614622:55974,3072,14.234335331939885:304056,3584,16.616616113394535:1002249,1024,4.750997711449965:2-59492,2560,11.86233350550022:1-1002255,1024,4.748907161600065:287086,512,2.3845601733173964:140952,3072,14.25056681608499:269732,1024,4.747891301099683:34-240840,3072,14.233157762779538:62930,3072,14.229998766069727:303595,3584,16.623070150271104:304939,3584,16.605725323978888:4-591393,3072,14.225166606192303:55794,3072,14.234902909226589:253148,2048,9.486445403902648:304091,12288,56.903637660995884:;
